year	minutes
199706	  1 Sections I to V of this minute summarise the analysis presented to the MPC by Bank staff and the BankÃs regional agents, and incorporate also information that became available to the Committee after the presentation but prior to the 6 June meeting.     Monetary conditions
199706	  The 12-month growth rate of notes and coins had fallen back since January, when it was 7.1%. It had fallen to 6.3% in April and the provisional estimate for May was 6.1%. It was not yet clear whether the fall simply reflected a deceleration in demand for cash following the recent fall in retail price inflation, or whether it had implications for future spending.
199706	  Broad money, too, decelerated in April: its 12-month growth rate fell back to 10.2%, having been above 11% in February and March. M4 went up by 0.2% in April: retail M4 fell and wholesale M4 decelerated, perhaps partly because the monthÃs public finances were stronger than expected. IndividualsÃ M4 holdings had accelerated modestly this year - to a 12-month growth rate of 6.5% in April, from 5.8% in December. The last monthly data followed a quarter (Q1) in which ICCsÃ holdings grew by 9.3% (annualised). The trend growth of real M4 remained around 8%, which continued to indicate strong future real demand growth.
199706	     Lending growth continued at around 9% in April. Borrowing by ICCs, which had decelerated in Q1, picked up again in April, and unused credit facilities (mainly to ICCs) continued to rise quickly (the 12 month increase was about 13% in April). Interest rate spreads seemed to have narrowed for ICCs and OFIs in Q1, which suggested that banks had become more willing to lend, perhaps in response to competition from other forms of financial intermediation.
199706	     Lending to individuals remained robust in Q1 and in April: unsecured lending went up by 16.7% in the year to April and secured lending by 5.2%, consistent with the recovery in the housing market. Loan-deposit interest rate spreads widened slightly for the personal sector in 1996 Q4, so the recent growth probably reflected strong demand for credit, particularly for unsecured loans.
199706	  Gilt yields had fallen sharply since the announcement of independence of the Bank on 6 May. Index-linked yields had not changed much, and so the implied future rate of inflation calculated from a comparison of the yield curves for conventional and index-linked gilts had fallen: the implied rates for ten years ahead had fallen by about 0.5 percentage points on 6 May itself. That could in principle reflect either lower inflationary expectations or a lower inflation risk premium. If the true explanation had been a lower inflation risk premium, a fall in the volatility implied by options on long gilt futures might have been expected to occur. In fact it had not occurred to a material extent. That, and the absence of a material change in the spot exchange rate were both consistent with the view that the explanation of the fall in conventional gilt yields had been a fall in inflationary expectations. In that case, it was suggested that the main effect would be modestly to increase the likelihood that inflation would turn out below the central projection over the next year or two, as indicated in the May Inflation Report. Even after the fall in bond yields following the announcement of Bank ndependence, the inflation rate implied by the conventional and index-linked gilt yield curves for 10 years ahead was still around 3 1/2%. That was one percentage point above the GovernmentÃs target; one percentage point was at the top end of the range of estimates of the risk premium. I Demand and output
199706	  There were substantial discrepancies, dating back to 1995, among the three estimates of GDP. The output estimate had in the past typically been revised by less than the expenditure estimate, and it seemed likely that the expenditure estimate would be revised upwards to bring it into line with the output estimate. Revisions were due on 27 June.
199706	  The most recent estimate of GDP growth in 1997 Q1 was 0.9% (revised down from the preliminary estimate of 1.0%, though estimated non-oil growth remained at 1.0%), but the recent pattern of strengthening output growth was unchanged. Of the expenditure components of GDP in Q1, investment growth was surprisingly strong (3.3%), though there was no clear change of trend. Net exports made a negative contribution in Q1 but this was not exceptional. Services output growth remained very strong in Q1 (1.2% on the quarter); manufacturing picked up a little (to 0.6%) and the revival of construction went further (up 1.8% on the quarter). Manufacturing output rose by 0.6% in April; taking account of revisions to estimates for earlier months, it was 1.7% up on a year earlier. New construction orders rose in April.
199706	     Consumer spending had been growing at an average of about 1% a quarter since the beginning of 1996, consistent with the growth of real personal disposable income. Retail sales had risen by only 0.1% in April but the estimate for March in particular had been revised upwards. The BankÃs agents reported a sharp rise in spending at the end of March (which could account for the revision) followed by a slowdown in April and a pick up in May, but the CBI distributive trades survey indicated some deceleration of retail sales in May. Because of recent rises in the prices of shares, and particularly bank shares, the expected size of windfall gains arising from demutualisation of building societies and other institutions in 1997 had increased to perhaps Â£35 billion from the Â£28 billion quoted in the May Inflation Report . 10 House price inflation (measured on a 12-month basis), having risen quite sharply in 1996, had not risen appreciably further so far this year, though the Nationwide index suggested that there might have been a pick-up in May. Indicators of housing market activity showed a similar pattern, with relatively stable levels in 1997 after sharp rises in 1996, although mortgage approvals rose sharply in April.
199706	  The small rise in total stocks in Q1 was broadly consistent with the expected longer-run trend of a falling stock-output ratio. Stocks had increased in the retailing, construction and manufacturing sectors. In manufacturing the rise had been concentrated in raw materials and work in progress; stocks of finished goods had fallen.
