firm_id,sector,region,age,employees,revenue,assets,leverage,current_ratio,interest_coverage,export_share,previous_default,default_next_year
1,retail,East,91,102,34.335,101.544,0.322,4.135,8.31,0.0,0,0
2,services,East,67,52,7.05,9.015,0.1,0.427,1.468,0.0,0,0
3,manufacturing,East,38,209,47.892,144.379,0.426,2.909,5.332,0.0,1,0
4,retail,West,31,66,14.382,18.859,0.224,1.023,1.2,0.0,0,0
5,construction,East,2,479,265.81,781.641,0.374,0.948,0.85,0.0,0,0
6,services,West,14,161,61.805,130.136,0.134,3.764,8.965,0.0,0,0
7,other,East,50,20,2.357,4.544,0.323,0.841,2.243,0.0,0,0
8,retail,West,44,109,75.877,174.534,0.091,0.555,1.393,0.0,0,0
9,services,North,38,76,18.402,45.696,0.301,3.054,11.255,0.0,0,0
10,services,South,61,45,11.405,18.342,0.544,2.211,1.76,0.232,0,0
11,services,Central,25,389,145.16,492.106,0.3,3.112,0.764,0.0,0,0
12,construction,North,8,233,26.294,78.04,0.143,2.493,1.957,0.0,0,0
13,services,North,96,129,13.083,40.991,0.139,3.878,0.556,0.0,0,0
14,manufacturing,North,88,254,80.561,242.927,0.156,1.432,1.442,0.432,0,0
15,services,East,9,190,24.553,62.604,0.111,2.572,3.463,0.57,0,0
16,construction,Central,22,254,107.846,136.513,0.529,0.883,0.905,0.0,0,0
17,manufacturing,West,62,203,110.45,177.558,0.166,1.051,1.929,0.342,0,0
18,manufacturing,West,15,524,89.051,125.661,0.252,1.077,0.669,0.449,0,0
19,retail,South,18,43,26.262,59.169,0.275,2.085,3.86,0.0,0,0
20,retail,North,66,346,245.929,853.045,0.224,1.843,2.766,0.574,0,0
21,retail,Central,12,139,6.627,10.762,0.306,1.414,6.998,0.0,0,0
22,transport,East,86,140,117.222,331.904,0.211,6.329,5.307,0.0,0,0
23,construction,South,13,115,10.103,27.724,0.115,1.108,24.261,0.078,0,0
24,retail,South,85,79,39.902,130.627,0.122,1.749,3.089,0.0,0,0
25,construction,West,72,278,44.364,56.228,0.444,1.313,3.309,0.0,0,0
26,services,Central,42,29,11.459,30.465,0.124,4.336,2.929,0.579,0,0
27,services,North,25,170,56.328,183.841,0.156,1.633,4.335,0.111,0,0
28,manufacturing,West,34,84,83.312,267.881,0.425,1.328,3.881,0.0,0,0
29,services,North,33,124,26.393,73.806,0.588,0.675,2.832,0.0,0,0
30,retail,East,33,67,11.754,30.231,0.275,1.53,3.403,0.624,0,0
31,manufacturing,West,37,139,38.536,120.782,0.646,0.628,1.119,0.0,0,0
32,services,Central,55,145,29.63,49.687,0.472,1.352,0.308,0.0,0,0
33,services,West,64,128,9.369,27.304,0.141,3.368,1.204,0.0,0,0
34,services,East,93,139,13.935,24.083,0.114,2.835,3.732,0.0,0,0
35,services,Central,32,168,26.544,67.966,0.11,2.639,7.547,0.0,1,0
36,services,West,58,189,70.039,233.577,0.323,1.882,3.031,0.307,0,0
37,services,South,5,163,20.126,60.249,0.161,1.805,0.301,0.0,0,0
38,finance,Central,99,21,15.685,30.993,0.158,2.91,1.878,0.0,0,0
39,finance,East,99,311,101.205,222.522,0.149,0.945,2.042,0.0,0,0
40,retail,North,66,72,30.144,82.509,0.275,5.984,5.814,0.0,0,0
41,retail,Central,71,41,2.869,6.589,0.334,3.909,4.682,0.0,1,0
42,manufacturing,North,38,905,39.145,124.062,0.252,2.022,1.027,0.44,0,0
43,services,North,61,98,32.581,84.765,0.094,2.109,3.095,0.0,0,0
44,services,West,87,59,28.348,82.115,0.549,1.489,29.28,0.0,0,0
45,transport,East,58,170,150.492,272.537,0.491,2.007,2.338,0.292,0,0
46,services,East,45,54,1.712,4.314,0.054,0.882,6.209,0.488,0,0
47,services,North,10,215,42.231,118.828,0.284,1.233,1.958,0.0,0,0
48,other,West,92,21,4.31,5.529,0.13,0.733,7.213,0.546,0,0
49,retail,Central,75,128,64.593,147.081,0.114,3.677,5.724,0.0,1,0
50,retail,East,45,188,38.448,74.097,0.37,3.367,0.439,0.0,0,0
51,manufacturing,East,53,160,55.927,157.781,0.163,2.072,11.298,0.0,0,0
52,transport,East,54,296,102.539,153.36,0.329,1.622,5.02,0.41,0,0
53,retail,West,55,125,40.763,114.063,0.458,1.657,0.615,0.409,0,0
54,retail,East,38,94,99.76,323.191,0.144,1.695,3.439,0.0,0,0
55,services,Central,7,60,17.578,60.166,0.321,0.79,3.668,0.0,0,0
56,services,South,99,104,29.632,92.49,0.1,2.131,1.432,0.0,0,0
57,services,Central,80,80,8.982,31.126,0.364,4.052,1.002,0.0,0,0
58,retail,South,6,96,17.232,46.731,0.257,2.83,2.3,0.0,0,0
59,transport,North,12,259,29.521,38.201,0.776,0.42,2.78,0.0,0,0
60,retail,Central,44,166,41.496,134.372,0.531,1.48,7.878,0.0,0,0
61,retail,East,92,50,26.364,51.733,0.114,1.969,0.903,0.0,0,0
62,retail,East,60,121,11.323,33.022,0.176,2.872,1.176,0.0,0,1
