symbol,firm_name_schedule,fiscal_year,first_appointment,actual_disclosure,revision_count,delay_days,postponed,advanced,long_postponement,first_doy,actual_doy,actual_month,april_disclosure,after_apr20,name,industry,loss_current,negative_eps_current,large_profit_drop_current,revenue_drop_current,bad_news_realized,severe_bad_news,lag_size,lag_profitability,lag_leverage,lag_revenue_growth,lag_profit_growth,lag_eps,lag_book_value,lag_cashflow_ps,lag_liquidity,lag_margin,lag_inventory_turnover,forecast_available,forecast_bad,forecast_severe_bad,forecast_yoy_min,forecast_yoy_mean,forecast_value_min,first_forecast_notice,last_forecast_notice,days_forecast_to_report,industry_group,actual_doy_pct_year,first_doy_pct_year,late_disclosure_q75,late_disclosure_q67,initial_late_q75
002099,海翔药业,2019,2020-01-23,2020-01-23,0,0.0,0,0,0,59.0,67,1,0,0,海翔药业,生物制药,0,0,0,0,0,0,3.338967305126021,11.35,23.38,17.74,76.79,0.38,3.33,0.49,2.36,44.39,1.76,0,0,0,5.4,33.17,0.22,,,999.0,生物制药,0.0005254860746190226,0.0005254860746190226,0,0,0
002315,焦点科技,2019,2020-02-08,2020-02-08,0,0.0,0,0,0,59.0,67,2,0,0,焦点科技,电子信息,0,0,0,0,0,0,2.302585092994046,3.09,26.99,-26.37,-23.03,0.24,7.62,1.28,2.35,69.56,74.06,1,0,0,170.0,170.0,152025100.0,2020-01-23,2020-01-23,16.0,电子信息,0.0010509721492380452,0.0010509721492380452,0,0,0
603822,ST嘉澳,2019,2020-02-10,2020-02-18,1,8.0,1,0,0,59.0,67,2,0,0,ST嘉澳,其他,0,0,0,0,0,0,2.432735777459091,7.25,46.1,17.78,5.42,0.7328,9.66,-0.79,1.87,14.02,4.32,0,0,0,5.4,33.17,0.22,,,999.0,其他,0.0015764582238570678,0.0015764582238570678,0,0,0
603477,巨星农牧,2019,2020-02-11,2020-02-28,1,17.0,1,0,1,59.0,67,2,0,0,巨星农牧,其他,0,0,0,0,0,0,1.9726911717329554,7.24,38.74,-5.58,-5.47,0.25,3.46,0.01,1.83,18.56,1.31,0,0,0,5.4,33.17,0.22,,,999.0,其他,0.004203888596952181,0.0021019442984760903,0,0,0
000628,高新发展,2019,2020-02-18,2020-02-29,1,11.0,1,0,0,59.0,67,2,0,0,高新发展,开发区,0,0,0,0,0,0,2.354228326145884,6.99,75.24,66.47,124.39,0.176,2.61,-0.5,1.3,16.88,1.75,1,0,0,68.965,68.965,0.297,2020-01-23,2020-01-23,37.0,Other,0.007094062007356805,0.002890173410404624,0,0,0
601020,华钰矿业,2019,2020-02-18,2020-04-25,1,60.0,1,0,1,59.0,116,4,1,1,华钰矿业,其他,0,0,0,0,0,0,2.5217206229107165,11.7,32.23,26.57,-26.23,0.43,3.78,0.74,0.65,43.67,9.58,0,0,0,5.4,33.17,0.22,,,999.0,其他,0.5525486074619023,0.002890173410404624,0,0,0
000534,万泽股份,2019,2020-02-20,2020-02-29,1,9.0,1,0,0,59.0,67,2,0,0,万泽股份,房地产,0,0,1,0,1,0,2.086913556518537,3.97,40.95,1.29,61.95,0.2946,3.12,-0.22,1.81,51.63,0.16530000000000003,0,0,0,5.4,33.17,0.22,,,999.0,房地产,0.007094062007356805,0.003941145559642669,0,0,0
002458,益生股份,2019,2020-02-20,2020-02-20,0,0.0,0,0,0,59.0,67,2,0,0,益生股份,农林牧渔,0,0,0,0,0,0,2.7555697170701863,25.82,30.54,121.986,216.91,0.63,4.73,1.27,0.76,37.05,7.36,1,0,0,526.7300000000002,527.0,2216582858.0000024,2019-10-28,2019-10-28,115.0,农林牧渔,0.0021019442984760903,0.003941145559642669,0,0,0
002597,金禾实业,2019,2020-02-21,2020-03-06,1,14.0,1,0,1,59.0,67,3,0,0,金禾实业,化工行业,0,0,0,0,0,0,3.745496054532832,25.15,31.17,-7.75,-10.83,1.62,7.02,1.72,2.99,33.04,8.89,1,1,0,-9.5,-9.5,825000000.0,2019-10-30,2019-10-30,128.0,化工行业,0.009721492380451918,0.004729374671571204,0,0,0
601619,嘉泽新能,2019,2020-02-22,2020-03-10,1,17.0,1,0,1,59.0,70,3,0,0,嘉泽新能,其他,0,0,0,0,0,0,2.458733775483977,10.61,69.88,28.54,63.26,0.14,1.37,0.43,1.5,58.04,556.6346,0,0,0,5.4,33.17,0.22,,,999.0,其他,0.013925380977404098,0.005517603783499738,0,0,0
603677,奇精机械,2019,2020-02-22,2020-02-22,0,0.0,0,0,0,59.0,67,2,0,0,奇精机械,其他,0,0,0,0,0,0,2.6953026282797072,8.47,48.05,6.89,-22.38,0.41,5.31,0.39,1.83,17.44,3.48,0,0,0,5.4,33.17,0.22,,,999.0,其他,0.002627430373095113,0.005517603783499738,0,0,0
603331,百达精工,2019,2020-02-24,2020-03-30,1,35.0,1,0,1,59.0,90,3,0,0,百达精工,其他,0,0,0,0,0,0,2.169053700369523,10.14,33.84,6.45,12.04,0.55,5.56,0.3,1.91,26.28,3.29,1,0,0,-1.5,1.75,63732950.0,2020-01-21,2020-01-21,69.0,其他,0.1442459274829217,0.006305832895428271,0,0,0
603187,海容冷链,2019,2020-02-25,2020-03-10,1,14.0,1,0,1,59.0,70,3,0,0,海容冷链,其他,0,0,0,0,0,0,2.574137783515943,20.31,31.8,25.58,17.12,1.61,16.17,1.72,2.56,28.52,3.53,1,0,0,53.6,55.2,212000000.0,2020-01-31,2020-01-31,39.0,其他,0.013925380977404098,0.006831318970047294,0,0,0
000670,盈方微,2019,2020-02-26,2020-03-20,1,23.0,1,0,1,59.0,80,3,0,0,盈方微,电子器件,1,1,0,1,1,1,1.0586067340382597,-60.64,22.01,-51.6646,45.97,-0.2082,0.24,-0.02,1.22,5.67,10.41,1,1,1,-23.52,-23.52,-210000000.0,2020-03-04,2020-03-04,16.0,电子器件,0.050709406200735684,0.00814503415659485,0,0,0
000707,双环科技,2019,2020-02-26,2020-04-28,2,60.0,1,0,1,59.0,119,4,1,1,双环科技,化工行业,0,0,1,1,1,1,3.655839600035736,30.55,93.6398,-11.95,118.19,0.2925,0.4,1.07,0.43,0.45119999999999977,2.16,1,1,1,-94.0,-92.39500000000001,0.0269,2020-01-21,2020-01-21,98.0,化工行业,0.662900683131897,0.00814503415659485,0,0,0
600877,电科芯片,2019,2020-02-26,2020-04-11,2,45.0,1,0,1,59.0,102,4,1,0,电科芯片,摩托车,0,0,0,0,0,0,1.3454723665996355,,93.6398,-38.46,-79.08,0.22,0.14100000000000018,-0.12,0.38,1.66,8.3,1,0,0,132.385,135.89,76900000.0,2020-01-22,2020-01-22,80.0,Other,0.26931161324224906,0.00814503415659485,0,0,0
601015,陕西黑猫,2019,2020-02-26,2020-03-26,1,29.0,1,0,1,59.0,86,3,0,0,陕西黑猫,煤炭行业,0,0,1,0,1,1,4.660794089736088,5.86,47.86,9.27,31.35,0.2,4.55,0.38,1.06,13.33,12.54,1,1,1,-91.815,-91.295,25000000.0,2020-01-23,2020-01-23,63.0,Other,0.08749343142406726,0.00814503415659485,0,0,0
603881,数据港,2019,2020-02-27,2020-03-14,1,16.0,1,0,1,59.0,74,3,0,0,数据港,其他,0,0,0,0,0,0,2.312535423847214,15.1,62.11,74.86,24.34,0.68,4.76,1.59,0.71,29.77,29.96,0,0,0,5.4,33.17,0.22,,,999.0,其他,0.027325275880189175,0.009458749343142408,0,0,0
000401,金隅冀东,2019,2020-02-28,2020-03-19,1,20.0,1,0,1,59.0,79,3,0,0,金隅冀东,水泥行业,0,0,0,0,0,0,5.75409528852979,10.36,61.56,22.57,277.45,1.41,8.61,4.2898000000000005,0.8,30.64,12.54,1,0,0,43.66,43.66,1.8745,2020-01-07,2020-01-07,72.0,Other,0.04308985811875985,0.013399894902785077,0,0,0
000708,中信特钢,2019,2020-02-28,2020-03-06,1,7.0,1,0,0,59.0,67,3,0,0,中信特钢,钢铁行业,0,0,0,0,0,0,6.5832709000062515,12.17,42.65,22.94,702.6514000000003,1.34,9.8,1.63,1.66,12.6,11.39,1,0,0,49.5,49.5,1.802,2020-01-21,2020-01-21,45.0,钢铁行业,0.009721492380451918,0.013399894902785077,0,0,0
002014,永新股份,2019,2020-02-28,2020-02-28,0,0.0,0,0,0,59.0,67,2,0,0,永新股份,化工行业,0,0,0,0,0,0,3.1912990570979662,12.78,26.16,16.13,9.66,0.45,3.65,0.64,2.74,21.95,5.89,0,0,0,5.4,33.17,0.22,,,999.0,化工行业,0.004203888596952181,0.013399894902785077,0,0,0
