symbol,firm_name_schedule,fiscal_year,first_appointment,actual_disclosure,revision_count,delay_days,postponed,advanced,long_postponement,first_doy,actual_doy,actual_month,april_disclosure,after_apr20
002778,中晟高科,2019,2020-01-17,2020-04-17,1,91,1,0,1,17,108,4,1,0
300617,安靠智电,2019,2020-01-17,2020-01-17,0,0,0,0,0,17,17,1,0,0
002099,海翔药业,2019,2020-01-23,2020-01-23,0,0,0,0,0,23,23,1,0,0
002315,焦点科技,2019,2020-02-08,2020-02-08,0,0,0,0,0,39,39,2,0,0
603822,ST嘉澳,2019,2020-02-10,2020-02-18,1,8,1,0,0,41,49,2,0,0
603477,巨星农牧,2019,2020-02-11,2020-02-28,1,17,1,0,1,42,59,2,0,0
600753,*ST海钦,2019,2020-02-13,2020-03-28,2,44,1,0,1,44,88,3,0,0
000001,平安银行,2019,2020-02-14,2020-02-14,0,0,0,0,0,45,45,2,0,0
300401,花园生物,2019,2020-02-15,2020-02-28,1,13,1,0,0,46,59,2,0,0
600319,亚星化学,2019,2020-02-15,2020-04-29,1,74,1,0,1,46,120,4,1,1
000628,高新发展,2019,2020-02-18,2020-02-29,1,11,1,0,0,49,60,2,0,0
601020,华钰矿业,2019,2020-02-18,2020-04-25,1,67,1,0,1,49,116,4,1,1
600315,上海家化,2019,2020-02-19,2020-02-20,1,1,1,0,0,50,51,2,0,0
000534,万泽股份,2019,2020-02-20,2020-02-29,1,9,1,0,0,51,60,2,0,0
002458,益生股份,2019,2020-02-20,2020-02-20,0,0,0,0,0,51,51,2,0,0
600722,金牛化工,2019,2020-02-20,2020-03-05,1,14,1,0,1,51,65,3,0,0
002597,金禾实业,2019,2020-02-21,2020-03-06,1,14,1,0,1,52,66,3,0,0
300496,中科创达,2019,2020-02-21,2020-02-27,1,6,1,0,0,52,58,2,0,0
300636,同和药业,2019,2020-02-21,2020-03-07,2,15,1,0,1,52,67,3,0,0
601318,中国平安,2019,2020-02-21,2020-02-21,0,0,0,0,0,52,52,2,0,0
600051,宁波联合,2019,2020-02-22,2020-03-17,1,24,1,0,1,53,77,3,0,0
601619,嘉泽新能,2019,2020-02-22,2020-03-10,1,17,1,0,1,53,70,3,0,0
603677,奇精机械,2019,2020-02-22,2020-02-22,0,0,0,0,0,53,53,2,0,0
603331,百达精工,2019,2020-02-24,2020-03-30,1,35,1,0,1,55,90,3,0,0
300033,同花顺,2019,2020-02-25,2020-02-25,0,0,0,0,0,56,56,2,0,0
603187,海容冷链,2019,2020-02-25,2020-03-10,1,14,1,0,1,56,70,3,0,0
000670,盈方微,2019,2020-02-26,2020-03-20,1,23,1,0,1,57,80,3,0,0
000707,双环科技,2019,2020-02-26,2020-04-28,2,62,1,0,1,57,119,4,1,1
600877,电科芯片,2019,2020-02-26,2020-04-11,2,45,1,0,1,57,102,4,1,0
601015,陕西黑猫,2019,2020-02-26,2020-03-26,1,29,1,0,1,57,86,3,0,0
002714,牧原股份,2019,2020-02-27,2020-02-27,0,0,0,0,0,58,58,2,0,0
002895,川恒股份,2019,2020-02-27,2020-03-27,1,29,1,0,1,58,87,3,0,0
600721,百花医药,2019,2020-02-27,2020-04-22,2,55,1,0,1,58,113,4,1,1
603881,数据港,2019,2020-02-27,2020-03-14,1,16,1,0,1,58,74,3,0,0
000401,金隅冀东,2019,2020-02-28,2020-03-19,1,20,1,0,1,59,79,3,0,0
000708,中信特钢,2019,2020-02-28,2020-03-06,1,7,1,0,0,59,66,3,0,0
002014,永新股份,2019,2020-02-28,2020-02-28,0,0,0,0,0,59,59,2,0,0
002072,凯瑞德,2019,2020-02-28,2020-04-30,1,62,1,0,1,59,121,4,1,1
002134,天津普林,2019,2020-02-28,2020-02-28,0,0,0,0,0,59,59,2,0,0
002162,悦心健康,2019,2020-02-28,2020-03-28,1,29,1,0,1,59,88,3,0,0
002211,ST宏达,2019,2020-02-28,2020-04-07,2,39,1,0,1,59,98,4,1,0
002654,万润科技,2019,2020-02-28,2020-04-27,3,59,1,0,1,59,118,4,1,1
002838,道恩股份,2019,2020-02-28,2020-04-09,2,41,1,0,1,59,100,4,1,0
002845,同兴达,2019,2020-02-28,2020-03-18,1,19,1,0,1,59,78,3,0,0
300056,中创环保,2019,2020-02-28,2020-04-22,3,54,1,0,1,59,113,4,1,1
300146,汤臣倍健,2019,2020-02-28,2020-03-13,1,14,1,0,1,59,73,3,0,0
300346,南大光电,2019,2020-02-28,2020-04-29,1,61,1,0,1,59,120,4,1,1
300398,飞凯材料,2019,2020-02-28,2020-03-24,2,25,1,0,1,59,84,3,0,0
300468,四方精创,2019,2020-02-28,2020-03-31,1,32,1,0,1,59,91,3,0,0
300618,寒锐钴业,2019,2020-02-28,2020-03-26,2,27,1,0,1,59,86,3,0,0
300620,光库科技,2019,2020-02-28,2020-02-28,0,0,0,0,0,59,59,2,0,0
300647,超频三,2019,2020-02-28,2020-03-31,1,32,1,0,1,59,91,3,0,0
600234,科新发展,2019,2020-02-28,2020-03-31,1,32,1,0,1,59,91,3,0,0
600507,方大特钢,2019,2020-02-28,2020-02-28,0,0,0,0,0,59,59,2,0,0
600785,新华百货,2019,2020-02-28,2020-03-20,1,21,1,0,1,59,80,3,0,0
600868,梅雁吉祥,2019,2020-02-28,2020-02-28,0,0,0,0,0,59,59,2,0,0
603335,迪生力,2019,2020-02-28,2020-03-13,1,14,1,0,1,59,73,3,0,0
603558,健盛集团,2019,2020-02-28,2020-03-11,1,12,1,0,0,59,71,3,0,0
603668,天马科技,2019,2020-02-28,2020-02-28,0,0,0,0,0,59,59,2,0,0
688018,乐鑫科技,2019,2020-02-28,2020-03-10,1,11,1,0,0,59,70,3,0,0
688181,八亿时空,2019,2020-02-28,2020-04-21,1,53,1,0,1,59,112,4,1,1
000048,京基智农,2019,2020-02-29,2020-04-30,1,61,1,0,1,60,121,4,1,1
000060,中金岭南,2019,2020-02-29,2020-03-10,1,10,1,0,0,60,70,3,0,0
002054,德美化工,2019,2020-02-29,2020-02-29,0,0,0,0,0,60,60,2,0,0
002076,*ST星光,2019,2020-02-29,2020-04-29,2,60,1,0,1,60,120,4,1,1
