symbol,fiscal_year,forecast_available,forecast_bad,forecast_severe_bad,forecast_yoy_min,forecast_yoy_mean,forecast_value_min,first_forecast_notice,last_forecast_notice
000004,2019,1,0,0,118.5,118.5,0.04465,2020-01-18,2020-01-18
000004,2020,1,0,0,445.78,1665.1125000000002,0.56045,2021-01-30,2021-01-30
000004,2021,1,1,1,-894.7,-593.1,-500000000.0,2022-04-28,2022-04-28
000004,2022,1,1,1,-37.705,-23.558333333333334,-600000000.0,2023-01-31,2023-01-31
000004,2023,1,1,1,-24.91,44.324999999999996,-125000000.0,2024-01-30,2024-01-30
000006,2023,1,1,1,-295.415,-295.415,-820000000.0,2024-01-31,2024-01-31
000007,2019,1,0,0,113.25,113.25,0.07505,2020-01-31,2020-01-31
000007,2020,1,1,1,-452.65,363.5225,-77500000.0,2021-01-30,2021-01-30
000007,2021,1,0,0,130.51,385.09666666666664,0.10825,2022-01-27,2022-01-27
000007,2022,1,1,1,-112.565,-64.985,-3500000.0,2023-01-19,2023-01-19
000007,2023,1,0,0,-2.645,215.5025,0.0794,2024-01-25,2024-01-25
000008,2020,1,1,1,-326.31,-219.07666666666668,-825000000.0,2021-01-30,2021-01-30
000008,2021,1,1,1,-9.005,1.7449999999999999,-975000000.0,2022-01-29,2022-01-29
000008,2022,1,1,1,-23.245,27.993333333333336,-650000000.0,2023-01-31,2023-01-31
000008,2023,1,1,1,17.285,27.16333333333333,-700000000.0,2024-01-31,2024-01-31
000009,2019,1,0,0,45.01,45.01,0.1202,2020-01-18,2020-01-18
000009,2020,1,1,1,-261.625,-45.43833333333333,-189122000.0,2021-01-22,2021-01-22
000009,2021,1,0,0,-25.96,105.92333333333335,0.4071,2022-01-11,2022-01-11
000010,2019,1,0,0,108.2,108.2,0.07315,2020-01-21,2020-01-21
000010,2020,1,1,1,-351.805,-134.795,-26050000.0,2021-01-30,2021-01-30
000010,2021,1,1,0,-32.79,114.08,0.03265,2022-01-29,2022-01-29
000010,2022,1,1,1,-2814.235,-1772.3150000000003,-570000000.0,2023-01-30,2023-04-22
000010,2023,1,1,1,1.08,2.1875,-535000000.0,2024-01-31,2024-01-31
000012,2021,1,0,0,87.5,120.5,0.475,2022-01-29,2022-01-29
000014,2019,1,1,1,-85.62,-85.62,0.1041,2020-01-23,2020-01-23
000014,2020,1,1,1,-152.125,-85.75,-6000000.0,2021-01-30,2021-01-30
000014,2021,1,0,0,512.545,595.29,0.16855,2022-01-27,2022-01-27
000014,2022,1,0,0,205.46,398.58000000000004,1.0122,2023-01-19,2023-01-19
000014,2023,1,0,0,103.075,288.28000000000003,2.0864,2024-01-24,2024-01-24
000016,2019,1,1,0,-39.215,-39.215,250000000.0,2020-02-07,2020-02-07
000016,2020,1,1,1,-16.485,32.06375,-2185000000.0,2021-01-30,2021-01-30
000016,2021,1,1,1,-39.38,31.524999999999995,-3300000000.0,2022-01-25,2022-01-25
000016,2022,1,1,1,-251.87,-85.10375,-2575000000.0,2023-01-31,2023-01-31
000016,2023,1,1,1,-41.02,-30.5425,-2855000000.0,2024-01-31,2024-01-31
000017,2019,1,1,1,-371.105,-371.105,-7500000.0,2020-01-23,2020-01-23
000017,2020,1,0,0,150.875,151.525,0.0068,2021-04-15,2021-04-15
