symbol,firm_name_schedule,fiscal_year,first_appointment,actual_disclosure,revision_count,delay_days,postponed,advanced,long_postponement,first_doy,actual_doy,actual_month,april_disclosure,after_apr20,name,industry,loss_current,negative_eps_current,large_profit_drop_current,revenue_drop_current,bad_news_realized,severe_bad_news,lag_size,lag_profitability,lag_leverage,lag_revenue_growth,lag_profit_growth,lag_eps,lag_book_value,lag_cashflow_ps,lag_liquidity,lag_margin,lag_inventory_turnover,forecast_available,forecast_bad,forecast_severe_bad,forecast_yoy_min,forecast_yoy_mean,forecast_value_min,first_forecast_notice,last_forecast_notice,days_forecast_to_report,industry_group,actual_doy_pct_year,first_doy_pct_year,late_disclosure_q75,late_disclosure_q67,initial_late_q75,predicted_bad_news_risk,risk_bucket,strata,event_id
000665,湖北广电,2023,2024-04-18,2024-04-18,0,0.0,0,0,0,109.0,109,4,1,0,湖北广电,传媒娱乐,1,1,0,0,1,1,3.1250046092581303,-10.09,48.56,0.17,-33.42,-0.55,5.14,0.1,0.71,7.91,21.14,1,1,1,-3.475,3.0316666666666663,-585000000.0,2024-01-30,2024-01-30,79.0,Other,0.3845466726217061,0.3945958016971862,0,0,0,0.9737826263144078,top_20_risk,,0
603978,深圳新星,2023,2024-04-24,2024-04-24,0,0.0,0,0,0,115.0,115,4,1,1,深圳新星,其他,1,1,1,0,1,1,2.787477334733532,-2.73,45.68,10.8,-267.06,-0.29,10.44,-0.88,2.0,10.08,6.7,1,1,1,-154.76,-137.1,-125500000.0,2024-01-30,2024-01-30,85.0,其他,0.5386333184457347,0.547119249665029,0,0,0,0.9923786739551228,top_20_risk,,1
002423,中粮资本,2023,2024-04-26,2024-04-26,0,0.0,0,0,0,117.0,117,4,1,1,中粮资本,钢铁行业,0,0,0,0,0,0,5.231482878360813,3.26,78.83,-5.58,-56.5,0.2591,7.95,3.49,1.52,-3.49,27.12,1,0,0,71.59,71.6425,0.44485,2024-01-20,2024-01-20,97.0,钢铁行业,0.6569897275569451,0.6712818222420723,0,0,0,0.004461124253382933,bottom_20_risk,,2
603606,东方电缆,2023,2024-03-21,2024-03-21,0,0.0,0,0,0,81.0,81,3,0,0,东方电缆,电器行业,0,0,0,0,0,0,4.263946679941392,16.3,40.2,-11.64,-29.18,1.22,7.99,0.94,2.8,22.38,3.83,0,0,0,5.4,33.17,0.22,,,999.0,Other,0.044439481911567665,0.04935238945958017,0,0,0,0.003554247776543528,bottom_20_risk,,3
603610,麒盛科技,2023,2024-04-19,2024-04-19,0,0.0,0,0,0,110.0,110,4,1,0,麒盛科技,其他,0,0,0,0,0,0,3.318902138935325,0.81,34.36,-10.23,-92.06,0.08,8.55,1.6,3.19,31.61,2.39,1,0,0,93.23,435.555,225000000.0,2024-01-31,2024-01-31,79.0,其他,0.41737382760160785,0.4276462706565431,0,0,0,0.001841593025549558,bottom_20_risk,,4
002300,太阳电缆,2021,2022-03-31,2022-03-31,0,0.0,0,0,0,90.0,90,3,0,0,太阳电缆,发电设备,0,0,0,0,0,0,4.387138546560058,12.33,57.04,13.86,-2.12,0.2892,2.44,0.48,1.51,6.73,13.69,0,0,0,5.4,33.17,0.22,,,999.0,发电设备,0.22914691943127963,0.24218009478672986,0,0,0,,not_test_year,2021_bad0_late0,5
600805,悦达投资,2021,2022-04-16,2022-04-16,0,0.0,0,0,0,106.0,106,4,1,0,悦达投资,综合行业,1,1,0,0,1,1,3.4423393249933305,-22.73,47.76,14.62,-1272.46,-1.4811999999999999,5.8,-0.1,1.01,8.68,3.65,1,1,1,36.96,41.06,-817180000.0,2022-01-29,2022-01-29,77.0,Other,0.39976303317535544,0.4194312796208531,0,0,0,,not_test_year,2021_bad1_late0,6
600933,爱柯迪,2023,2024-03-28,2024-04-27,1,28.0,1,0,1,88.0,118,4,1,1,爱柯迪,其他,0,0,0,0,0,0,3.776203282285611,13.52,43.43,33.05,109.29,0.74,5.99,0.73,2.48,27.77,3.78,1,0,0,39.735,41.678333333333335,870000000.0,2024-01-24,2024-01-24,94.0,其他,0.7791424743188924,0.11523001339883877,1,1,0,0.0041001476028032285,bottom_20_risk,,7
603936,博敏电子,2023,2024-04-27,2024-04-27,0,0.0,0,0,0,118.0,118,4,1,1,博敏电子,其他,1,1,1,0,1,1,3.4005304926744517,2.21,46.75,-17.68,-66.69,0.16,7.21,0.4,1.0,16.23,4.76,1,1,1,-1341.695,-1099.42,-625000000.0,2024-01-31,2024-01-31,87.0,其他,0.7791424743188924,0.7972309066547566,1,1,1,0.9947103446681462,top_20_risk,,8
000524,岭南控股,2023,2024-03-23,2024-03-23,0,0.0,0,0,0,83.0,83,3,0,0,岭南控股,酒店旅游,0,0,0,0,0,0,2.4292177439274116,-8.34,31.06,-32.22,-39.3,-0.27,3.05,-0.07,1.6,14.49,59.38,1,0,0,-87.26,58.85999999999999,0.1,2024-01-31,2024-01-31,52.0,Other,0.06297454220634212,0.06565430995980348,0,0,0,0.011346836036684583,middle_60_risk,,9
