序号,股票代码,股票简称,预测指标,业绩变动,预测数值,业绩变动幅度,业绩变动原因,预告类型,上年同期值,公告日期
1,301122,采纳股份,扣除非经常性损益后的净利润,"预计2020年1-12月扣除非经常性损益后的净利润盈利:5,641.79万元。",56417900.0,87.15,,预增,30145127.66,2021-06-30
2,301122,采纳股份,营业收入,"预计2020年1-12月营业收入:24,956.08万元。",249560800.0,37.64,,略增,181312620.29,2021-06-30
3,688067,爱威科技,扣除非经常性损益后的净利润,"预计2020年1-12月扣除非经常性损益后的净利润盈利:2,908.62万元,同比上年下降:36.4%。",29086200.0,-36.4,"发行人预计2020年度可实现营业收入17,999.89万元,与上年同期相比下降5.26%;预计2020年度可实现扣除非经常性损益后的归属于母公司股东的净利润为2,908.62万元,与上年同期相比下降36.40%,扣非后净利润大幅下滑主要受疫情影响下终端就诊量减少,公司高毛利率的试剂产品销售占比降低所致。",略减,45734517.48,2021-05-10
4,688067,爱威科技,营业收入,"预计2020年1-12月营业收入:17,999.89万元,同比上年下降:5.26%。",179998900.0,-5.26,"发行人预计2020年度可实现营业收入17,999.89万元,与上年同期相比下降5.26%;预计2020年度可实现扣除非经常性损益后的归属于母公司股东的净利润为2,908.62万元,与上年同期相比下降36.40%,扣非后净利润大幅下滑主要受疫情影响下终端就诊量减少,公司高毛利率的试剂产品销售占比降低所致。",略减,189982846.33,2021-05-10
5,002640,跨境通,扣除非经常性损益后的净利润,"预计2020年1-12月扣除非经常性损益后的净利润亏损:320,000万元至400,000万元。",-3600000000.0,-34.015,"2020年受全球疫情影响及资金短缺影响,公司全资子公司深圳市环球易购电子商务有限公司(以下简称“深圳环球”)2020年初员工总数3,353人,至2020年末员工总数仅885人,人员缩减约3/4。人员缩减及部分业务关停导致深圳环球管理效率低下,业务大幅下滑,经营层面业务团队与财务团队衔接不顺畅,进而致使2020年末深圳环球财务系统未能及时获取业务单据,出现预测偏差。此外人员缩减带来的短期高额遣散费用及其他管理业务损失、呆滞产品库存清理、应收账款坏账计提等导致深圳环球亏损约25亿元,冲回减值准备递延所得税资产4.6亿元。同时基于谨慎性原则,公司聘请第三方评估机构对深圳环球商誉进行减值测试,根据减值测试结果深圳环球商誉计提减值约7亿元。",增亏,-2686258000.0,2021-04-30
6,002640,跨境通,每股收益,预计2020年1-12月每股收益亏损:2元至3元。,-2.5,,"2020年受全球疫情影响及资金短缺影响,公司全资子公司深圳市环球易购电子商务有限公司(以下简称“深圳环球”)2020年初员工总数3,353人,至2020年末员工总数仅885人,人员缩减约3/4。人员缩减及部分业务关停导致深圳环球管理效率低下,业务大幅下滑,经营层面业务团队与财务团队衔接不顺畅,进而致使2020年末深圳环球财务系统未能及时获取业务单据,出现预测偏差。此外人员缩减带来的短期高额遣散费用及其他管理业务损失、呆滞产品库存清理、应收账款坏账计提等导致深圳环球亏损约25亿元,冲回减值准备递延所得税资产4.6亿元。同时基于谨慎性原则,公司聘请第三方评估机构对深圳环球商誉进行减值测试,根据减值测试结果深圳环球商誉计提减值约7亿元。",增亏,-1.74,2021-04-30
7,002640,跨境通,归属于上市公司股东的净利润,"预计2020年1-12月归属于上市公司股东的净利润亏损:300,000万元至380,000万元。",-3400000000.0,-25.56,"2020年受全球疫情影响及资金短缺影响,公司全资子公司深圳市环球易购电子商务有限公司(以下简称“深圳环球”)2020年初员工总数3,353人,至2020年末员工总数仅885人,人员缩减约3/4。人员缩减及部分业务关停导致深圳环球管理效率低下,业务大幅下滑,经营层面业务团队与财务团队衔接不顺畅,进而致使2020年末深圳环球财务系统未能及时获取业务单据,出现预测偏差。此外人员缩减带来的短期高额遣散费用及其他管理业务损失、呆滞产品库存清理、应收账款坏账计提等导致深圳环球亏损约25亿元,冲回减值准备递延所得税资产4.6亿元。同时基于谨慎性原则,公司聘请第三方评估机构对深圳环球商誉进行减值测试,根据减值测试结果深圳环球商誉计提减值约7亿元。",增亏,-2707893300.0,2021-04-30
8,002174,游族网络,归属于上市公司股东的净利润,"预计2020年1-12月归属于上市公司股东的净利润亏损:18,771.58万元,同比上年下降:173.17%。",-187715800.0,-173.17,"由于公司原实控人林奇先生不幸突然辞世,公司部分业务发展、对外投资和合作受到较大的干扰,也对本年度财务决算工作的正常开展产生一定的影响,由此导致公司对部分应收帐款和资产减值的判断有一定程度的变化。业绩预告出现修正的主要原因:(一)在期后审计过程中发现个别应收账款和其他应收款存在减值迹象,包括期后部分客商未能按约定支付款项,公司发起相应的诉讼申请等情形,同时,重新审视报告期内存在的应收账款的诉讼申请,并请专业法律机构出具法律意见书,公司基于审慎原则进行会计估计并作为单项减值计提,经财务部门再次测算,并经审计师确认,应收账款单项计提导致公司营业利润较前次业绩预告测算减少3,085.57万元,其他应收款单项计提导致公司营业利润较前次业绩预告测算减少约6,285.22万元。(二)公司下属全资子公司游素香港有限公司(以下简称“游素香港”)向投资标的公司合计投资5000万美元,并作为“其他非流动金融资产”列报。截止2021年2月28日,本公司未收到该投资标的公司的财务资料,因此无法在前次业绩预告测算时准确预估该投资标的公司的公允价值。于2021年4月,公司收到投资标的公司提供的相关资料,预计对公司2020年度利润影响金额为减少人民币25,972.92万元。",首亏,256538100.0,2021-04-30
9,002174,游族网络,每股收益,预计2020年1-12月每股收益亏损:0.2100元。,-0.21,,"由于公司原实控人林奇先生不幸突然辞世,公司部分业务发展、对外投资和合作受到较大的干扰,也对本年度财务决算工作的正常开展产生一定的影响,由此导致公司对部分应收帐款和资产减值的判断有一定程度的变化。业绩预告出现修正的主要原因:(一)在期后审计过程中发现个别应收账款和其他应收款存在减值迹象,包括期后部分客商未能按约定支付款项,公司发起相应的诉讼申请等情形,同时,重新审视报告期内存在的应收账款的诉讼申请,并请专业法律机构出具法律意见书,公司基于审慎原则进行会计估计并作为单项减值计提,经财务部门再次测算,并经审计师确认,应收账款单项计提导致公司营业利润较前次业绩预告测算减少3,085.57万元,其他应收款单项计提导致公司营业利润较前次业绩预告测算减少约6,285.22万元。(二)公司下属全资子公司游素香港有限公司(以下简称“游素香港”)向投资标的公司合计投资5000万美元,并作为“其他非流动金融资产”列报。截止2021年2月28日,本公司未收到该投资标的公司的财务资料,因此无法在前次业绩预告测算时准确预估该投资标的公司的公允价值。于2021年4月,公司收到投资标的公司提供的相关资料,预计对公司2020年度利润影响金额为减少人民币25,972.92万元。",首亏,0.3,2021-04-30
10,002174,游族网络,扣除后营业收入,"预计2020年1-12月扣除后营业收入:469,140.41万元。",4691404100.0,,"由于公司原实控人林奇先生不幸突然辞世,公司部分业务发展、对外投资和合作受到较大的干扰,也对本年度财务决算工作的正常开展产生一定的影响,由此导致公司对部分应收帐款和资产减值的判断有一定程度的变化。业绩预告出现修正的主要原因:(一)在期后审计过程中发现个别应收账款和其他应收款存在减值迹象,包括期后部分客商未能按约定支付款项,公司发起相应的诉讼申请等情形,同时,重新审视报告期内存在的应收账款的诉讼申请,并请专业法律机构出具法律意见书,公司基于审慎原则进行会计估计并作为单项减值计提,经财务部门再次测算,并经审计师确认,应收账款单项计提导致公司营业利润较前次业绩预告测算减少3,085.57万元,其他应收款单项计提导致公司营业利润较前次业绩预告测算减少约6,285.22万元。(二)公司下属全资子公司游素香港有限公司(以下简称“游素香港”)向投资标的公司合计投资5000万美元,并作为“其他非流动金融资产”列报。截止2021年2月28日,本公司未收到该投资标的公司的财务资料,因此无法在前次业绩预告测算时准确预估该投资标的公司的公允价值。于2021年4月,公司收到投资标的公司提供的相关资料,预计对公司2020年度利润影响金额为减少人民币25,972.92万元。",略增,3206368200.0,2021-04-30
