序号,股票代码,股票简称,首次预约时间,一次变更日期,二次变更日期,三次变更日期,实际披露时间
1,301059,金三江,2023-02-09,,,,2023-02-09
2,000815,美利云,2023-02-10,,,,2023-02-10
3,000972,*ST中基,2023-02-18,2023-02-25,,,2023-02-25
4,002072,凯瑞德,2023-02-18,,,,2023-02-18
5,301076,新瀚新材,2023-02-18,,,,2023-02-18
6,002789,*ST建艺,2023-02-20,2023-03-30,2023-04-24,,2023-04-24
7,002984,森麒麟,2023-02-21,,,,2023-02-21
8,600557,康缘药业,2023-02-21,,,,2023-02-21
9,603077,和邦生物,2023-02-21,,,,2023-02-21
10,603856,东宏股份,2023-02-21,,,,2023-02-21
11,000798,中水渔业,2023-02-24,,,,2023-02-24
12,300721,怡达股份,2023-02-25,2023-02-21,,,2023-02-21
13,301046,能辉科技,2023-02-25,2023-03-10,2023-03-17,,2023-03-17
14,301296,新巨丰,2023-02-25,2023-04-20,,,2023-04-20
15,688082,盛美上海,2023-02-25,,,,2023-02-25
16,000055,方大集团,2023-02-28,,,,2023-02-28
17,000620,盈新发展,2023-02-28,2023-04-08,2023-04-29,,2023-04-29
18,000975,山金国际,2023-02-28,,,,2023-02-28
19,001207,联科科技,2023-02-28,,,,2023-02-28
20,002138,顺络电子,2023-02-28,,,,2023-02-28
21,002162,悦心健康,2023-02-28,2023-03-10,2023-03-16,2023-03-18,2023-03-18
22,002315,焦点科技,2023-02-28,,,,2023-02-28
23,002616,长青集团,2023-02-28,,,,2023-02-28
24,002629,仁智股份,2023-02-28,2023-03-07,2023-03-16,2023-03-20,2023-03-20
25,300033,同花顺,2023-02-28,,,,2023-02-28
26,300152,*ST动力,2023-02-28,2023-03-22,,,2023-03-22
27,300496,中科创达,2023-02-28,,,,2023-02-28
28,300818,耐普矿机,2023-02-28,,,,2023-02-28
29,301256,华融化学,2023-02-28,,,,2023-02-28
30,600305,恒顺醋业,2023-02-28,,,,2023-02-28
31,601901,方正证券,2023-02-28,,,,2023-02-28
32,603021,*ST华鹏,2023-02-28,,,,2023-02-28
33,603200,上海洗霸,2023-02-28,,,,2023-02-28
34,603682,锦和商管,2023-02-28,,,,2023-02-28
35,688100,威胜信息,2023-02-28,,,,2023-02-28
36,688597,煜邦电力,2023-02-28,2023-03-16,,,2023-03-16
37,000988,华工科技,2023-03-01,,,,2023-03-01
38,003037,三和管桩,2023-03-01,,,,2023-03-01
39,600354,敦煌种业,2023-03-01,2023-04-20,,,2023-04-20
40,688091,上海谊众,2023-03-01,,,,2023-03-01
41,002258,利尔化学,2023-03-02,,,,2023-03-02
42,600955,维远股份,2023-03-02,,,,2023-03-02
43,601996,丰林集团,2023-03-02,,,,2023-03-02
44,002812,恩捷股份,2023-03-03,,,,2023-03-03
45,300654,世纪天鸿,2023-03-03,,,,2023-03-03
46,600513,联环药业,2023-03-03,,,,2023-03-03
47,600721,百花医药,2023-03-03,2023-04-12,,,2023-04-12
48,300346,南大光电,2023-03-04,2023-03-18,,,2023-03-18
49,300700,岱勒新材,2023-03-04,,,,2023-03-04
