日期,开盘,最高,最低,收盘,成交量,成交额,outstanding_share,换手率,股票代码
2020-01-02,5.8,6.49,5.8,6.49,30971729.0,193155897.0,368500000.0,0.08404811126187245,002105
2020-01-03,6.66,7.14,6.6,7.14,34210775.0,239277373.0,368500000.0,0.09283792401628223,002105
2020-01-06,7.28,7.37,6.43,6.98,45118676.0,313200490.0,368500000.0,0.1224387408412483,002105
2020-01-07,6.7,7.68,6.7,7.21,40793493.0,293548107.0,368500000.0,0.11070147354138399,002105
2020-01-08,7.1,7.61,7.05,7.33,31032937.0,228017334.0,368500000.0,0.08421421166892809,002105
2020-01-09,7.28,7.88,7.0,7.32,28110656.0,205897057.0,368500000.0,0.07628400542740842,002105
2020-01-10,7.48,8.05,7.13,8.05,33384005.0,252857574.0,368500000.0,0.09059431478968792,002105
2020-01-13,8.02,8.85,7.52,8.44,41427664.0,335596791.0,368500000.0,0.11242242605156039,002105
2020-01-14,8.3,8.5,8.02,8.02,22218123.0,183322204.0,368500000.0,0.06029341383989145,002105
2020-01-15,7.47,7.69,7.22,7.22,15564800.0,114369528.0,368500000.0,0.04223826322930801,002105
2020-01-16,6.8,7.36,6.8,7.0,32270992.0,227239813.0,368500000.0,0.08757392672998643,002105
2020-01-17,7.07,7.12,6.62,6.62,19591769.0,134370970.0,368500000.0,0.053166265943012214,002105
2020-01-20,6.74,7.28,6.68,7.28,23637003.0,166085940.0,368500000.0,0.06414383446404343,002105
2020-01-21,7.43,7.64,6.89,6.91,23648034.0,170706099.0,368500000.0,0.06417376933514247,002105
2020-01-22,6.91,7.45,6.69,7.2,22976004.0,162989833.0,368500000.0,0.06235007869742198,002105
2020-01-23,7.05,7.33,6.55,6.7,18214193.0,126546801.0,368500000.0,0.04942793215739484,002105
2020-02-03,6.03,6.19,6.03,6.03,7510000.0,45387701.0,368500000.0,0.02037991858887381,002105
2020-02-04,5.94,6.35,5.9,6.28,20678230.0,127637525.0,368500000.0,0.05611459972862958,002105
2020-02-05,6.22,6.46,6.13,6.22,19375119.0,121858701.0,368500000.0,0.052578341926729985,002105
2020-02-06,6.2,6.39,6.08,6.35,19134115.0,119106396.0,368500000.0,0.051924328358208954,002105
2020-02-07,6.31,6.36,6.1,6.27,17291350.0,107493220.0,368500000.0,0.046923609226594304,002105
2020-02-10,6.2,6.55,6.19,6.52,17747828.0,113677534.0,368500000.0,0.04816235549525102,002105
2020-02-11,6.71,6.97,6.34,6.74,24644207.0,164207816.0,368500000.0,0.06687708819538671,002105
2020-02-12,6.61,6.81,6.51,6.7,17500593.0,116257437.0,368500000.0,0.0474914328358209,002105
2020-02-13,6.59,6.63,6.25,6.31,18423313.0,118087047.0,368500000.0,0.04999542198100407,002105
2020-02-14,6.27,6.39,6.2,6.21,10457815.0,65587884.0,368500000.0,0.028379416553595656,002105
2020-02-17,6.23,6.6,6.18,6.56,15931455.0,102256958.0,368500000.0,0.04323325644504749,002105
2020-02-18,6.63,6.84,6.5,6.77,20186858.0,135133910.0,368500000.0,0.05478116146540027,002105
2020-02-19,6.91,7.18,6.6,6.68,21623425.0,148651038.0,368500000.0,0.058679579375848036,002105
2020-02-20,6.81,6.91,6.5,6.7,18213307.0,121586361.0,368500000.0,0.049425527815468114,002105
2020-02-21,6.68,6.84,6.63,6.72,14219986.0,95753392.0,368500000.0,0.03858883582089552,002105
2020-02-24,6.68,6.68,6.5,6.59,15205248.0,99858038.0,368500000.0,0.041262545454545455,002105
2020-02-25,6.41,6.44,6.08,6.37,16868981.0,106178813.0,368500000.0,0.045777424694708274,002105
2020-02-26,6.23,6.3,6.05,6.12,17986586.0,111005431.0,368500000.0,0.04881027408412483,002105
2020-02-27,6.17,6.25,6.06,6.22,10041221.0,61957860.0,368500000.0,0.02724890366350068,002105
2020-02-28,6.05,6.11,5.78,5.78,11164681.0,66531538.0,368500000.0,0.030297641791044775,002105
2020-03-02,5.81,6.05,5.81,5.99,8224838.0,48946135.0,368500000.0,0.02231977747625509,002105
2020-03-03,6.09,6.2,6.0,6.08,9786071.0,59750242.0,368500000.0,0.026556502035278155,002105
2020-03-04,6.03,6.18,6.01,6.17,7720900.0,47245832.0,368500000.0,0.02095223880597015,002105
2020-03-05,6.21,6.25,6.1,6.22,11843978.0,73264661.0,368500000.0,0.03214105291723202,002105
2020-03-06,6.16,6.35,6.13,6.29,9396575.0,58907522.0,368500000.0,0.02549952510176391,002105
2020-03-09,6.21,6.23,5.98,6.05,9477490.0,57631996.0,368500000.0,0.02571910447761194,002105
2020-03-10,5.84,6.11,5.84,6.09,9172602.0,54974272.0,368500000.0,0.024891728629579377,002105
2020-03-11,6.09,6.22,5.98,6.0,8371778.0,51093986.0,368500000.0,0.02271852917232022,002105
2020-03-12,5.88,5.97,5.74,5.84,7245800.0,42286154.0,368500000.0,0.019662957937584803,002105
2020-03-13,5.55,5.67,5.4,5.59,9855901.0,54491170.0,368500000.0,0.026746,002105
2020-03-16,5.69,5.75,5.38,5.38,8107538.0,45279756.0,368500000.0,0.022001459972862958,002105
2020-03-17,5.49,5.53,5.22,5.4,6886200.0,37043260.0,368500000.0,0.018687109905020354,002105
2020-03-18,5.45,5.52,5.26,5.28,6166028.0,33283360.0,368500000.0,0.016732776119402985,002105
2020-03-19,5.28,5.35,5.16,5.29,6233596.0,32799583.0,368500000.0,0.01691613568521031,002105
2020-03-20,5.32,5.39,5.23,5.38,5484187.0,29147754.0,368500000.0,0.01488246132971506,002105
2020-03-23,5.22,5.28,5.01,5.03,6693900.0,34459902.0,368500000.0,0.018165264586160107,002105
2020-03-24,5.18,5.2,5.01,5.18,5505100.0,28279050.0,368500000.0,0.01493921302578019,002105
2020-03-25,5.29,5.38,5.23,5.36,6836106.0,36335613.0,368500000.0,0.01855116960651289,002105
2020-03-26,5.37,5.37,5.24,5.26,6370656.0,33759950.0,368500000.0,0.017288075983717774,002105
2020-03-27,5.34,5.39,5.18,5.2,5122100.0,27034262.0,368500000.0,0.013899864314789689,002105
2020-03-30,5.17,5.17,4.95,5.01,6990131.0,35048607.0,368500000.0,0.01896914789687924,002105
2020-03-31,5.04,5.11,4.88,4.91,6866242.0,34236341.0,368500000.0,0.018632949796472186,002105
2020-04-01,4.96,4.98,4.82,4.87,4595731.0,22542312.0,368500000.0,0.012471454545454546,002105
2020-04-02,4.87,5.06,4.82,5.06,5598650.0,27692081.0,368500000.0,0.015193080054274085,002105
2020-04-03,5.07,5.1,4.98,5.02,4261122.0,21415675.0,368500000.0,0.011563424694708276,002105
2020-04-07,5.07,5.22,5.07,5.21,6203053.0,32079434.0,368500000.0,0.016833251017639078,002105
2020-04-08,5.18,5.25,5.15,5.22,5111727.0,26601223.0,368500000.0,0.013871715061058344,002105
2020-04-09,5.22,5.43,5.22,5.34,8850182.0,47183111.0,368500000.0,0.024016776119402984,002105
2020-04-10,5.28,5.29,5.08,5.08,6495905.0,33534297.0,368500000.0,0.01762796472184532,002105
2020-04-13,5.12,5.12,5.01,5.05,4013202.0,20337116.0,368500000.0,0.010890643147896879,002105
2020-04-14,5.05,5.19,5.05,5.18,3771732.0,19343791.0,368500000.0,0.010235364993215739,002105
2020-04-15,5.15,5.22,5.03,5.04,4623195.0,23655106.0,368500000.0,0.012545983717774763,002105
2020-04-16,5.03,5.07,4.96,5.01,3826700.0,19186895.0,368500000.0,0.010384531886024423,002105
2020-04-17,5.06,5.06,4.96,4.96,3985165.0,19958686.0,368500000.0,0.010814559023066486,002105
2020-04-20,4.94,5.05,4.93,5.04,3698944.0,18506995.0,368500000.0,0.010037839891451832,002105
2020-04-21,5.04,5.07,4.95,5.0,3832146.0,19193626.0,368500000.0,0.010399310719131616,002105
2020-04-22,5.0,5.16,4.93,5.08,4639511.0,23456682.0,368500000.0,0.0125902605156038,002105
2020-04-23,5.08,5.1,4.97,4.98,4728352.0,23693570.0,368500000.0,0.012831348710990502,002105
2020-04-24,4.97,5.02,4.86,4.9,4461340.0,22025944.0,368500000.0,0.012106757123473541,002105
2020-04-27,4.88,4.94,4.75,4.79,4368000.0,21076994.0,368500000.0,0.011853459972862957,002105
2020-04-28,4.79,4.8,4.35,4.48,5953514.0,27174039.0,368500000.0,0.016156075983717776,002105
2020-04-29,4.56,4.93,4.52,4.76,8898513.0,42153060.0,368500000.0,0.024147932157394844,002105
2020-04-30,4.64,4.78,4.6,4.69,8614713.0,40326322.0,368500000.0,0.0233777829036635,002105
