feature,importance
forecast_yoy_mean,468
forecast_yoy_min,409
lag_profit_growth,348
lag_cashflow_ps,336
lag_liquidity,303
lag_profitability,287
lag_inventory_turnover,283
lag_eps,267
lag_margin,267
lag_revenue_growth,262
lag_leverage,247
lag_book_value,217
actual_doy,208
days_forecast_to_report,203
lag_size,149
first_doy,128
forecast_bad,92
delay_days,84
revision_count,46
forecast_severe_bad,32
forecast_available,15
postponed,3
april_disclosure,3
after_apr20,2
long_postponement,1
advanced,0
initial_late_q75,0
