event_id,symbol,fiscal_year,bad_news_realized,late_disclosure_q75,postponed,revision_count,predicted_bad_news_risk,risk_bucket,actual_disclosure,event_trading_date,car_m1_p1,car_0_p5,car_1_p20,car_m5_m1
0,000665,2023,1,0,0,0,0.9737826263144078,top_20_risk,2024-04-18,2024-04-18,0.02831687675805561,-0.014169650693414804,0.026919641576131137,-0.09492942394953785
1,603978,2023,1,0,0,0,0.9923786739551228,top_20_risk,2024-04-24,2024-04-24,0.06361084920471038,0.10042664481418273,0.027551867249687723,-7.400108116062398e-05
2,002423,2023,0,0,0,0,0.004461124253382933,bottom_20_risk,2024-04-26,2024-04-26,0.02111862525915087,0.01525056070676789,-0.061367559602055866,-0.027174748770201096
3,603606,2023,0,0,0,0,0.003554247776543528,bottom_20_risk,2024-03-21,2024-03-21,0.03377395327601529,0.015252996214294545,-0.13254690052254603,-0.03426828621533262
4,603610,2023,0,0,0,0,0.001841593025549558,bottom_20_risk,2024-04-19,2024-04-19,0.14563550740349485,0.08177366373606099,0.03744198797341303,-0.023637731616567015
5,002300,2021,0,0,0,0,,not_test_year,2022-03-31,2022-03-31,-0.0030070281865586246,-0.0326881919626979,-0.10993199014122879,-0.040180890823940274
6,600805,2021,1,0,0,0,,not_test_year,2022-04-16,2022-04-18,0.0019558785131390533,0.17267798715453553,0.1853150077069754,-0.03196301502499066
7,600933,2023,0,1,1,1,0.0041001476028032285,bottom_20_risk,2024-04-27,2024-04-29,0.03629669237493449,0.005373412103655273,-0.12314958899294048,0.023358033004795775
8,603936,2023,1,1,0,0,0.9947103446681462,top_20_risk,2024-04-27,2024-04-29,0.06621723593411655,0.033172496402402385,-0.05149601797947323,0.0978971401436769
9,000524,2023,0,0,0,0,0.011346836036684583,middle_60_risk,2024-03-23,2024-03-25,-0.06493320313806461,0.025059598624107116,0.14710031689093894,0.09294905578480372
10,000571,2023,1,1,1,1,0.9925509852589722,top_20_risk,2024-04-30,2024-04-30,-0.003884396637559573,0.03093500230822932,-0.004053091182825264,0.053998249893547734
11,002460,2022,0,0,0,0,,not_test_year,2023-03-30,2023-03-30,-0.009386587270629243,-0.07217493121219043,-0.016691745395911006,-0.01484471715867175
12,603031,2023,0,0,0,0,0.003846998861100231,bottom_20_risk,2024-03-12,2024-03-12,0.03149572889362118,0.14919281748599833,-0.35099634929381673,0.05839997167555788
13,002224,2022,0,1,0,0,,not_test_year,2023-04-28,2023-04-28,0.015448753688224848,0.024501745631107075,0.08340028508362807,0.0218884062246526
14,002526,2023,0,0,0,0,0.0035556044478847293,bottom_20_risk,2024-04-24,2024-04-24,0.036652276123571026,-0.06877507087365953,-0.06759023580373547,0.15043503963504945
15,002236,2022,0,1,0,0,,not_test_year,2023-04-28,2023-04-28,0.0704375997686354,0.035022653652541647,-0.1000644409782312,-0.17835597815852366
16,000717,2022,1,1,0,0,,not_test_year,2023-04-28,2023-04-28,0.05021632400568121,0.1117374537017558,0.12599859763453614,-0.010447345091805671
17,002314,2023,1,0,0,1,0.9815473295907872,top_20_risk,2024-03-30,2024-04-01,-0.020812773834069653,-0.04214131203418858,-0.045551502190647075,-0.028628470881813528
18,600877,2023,0,0,1,1,0.050025186710781426,middle_60_risk,2024-04-26,2024-04-26,0.07086562082899683,0.049657364239494406,-0.09783046878454149,-0.018562922793113334
19,002660,2023,0,0,0,0,0.005911282631627121,middle_60_risk,2024-03-30,2024-04-01,0.12924299512181925,-0.06656679426273104,-0.14573462700928985,0.06567052468257484
20,000720,2023,1,1,0,0,0.9474577514725044,middle_60_risk,2024-04-30,2024-04-30,0.07226929628169676,0.021360672648417567,-0.017989546548782154,0.08368847118318679
21,603727,2023,1,0,0,0,0.9915244591988002,top_20_risk,2024-03-30,2024-04-01,0.1379112879943083,0.07186830605844674,0.09195997922137811,0.03453740813228234
22,600843,2021,0,1,1,1,,not_test_year,2022-04-30,2022-05-05,0.09012470846091591,0.09778188019530043,0.09346512764088011,-0.1344244314854367
23,603079,2023,1,0,0,0,0.9861597556314126,top_20_risk,2024-04-20,2024-04-22,0.03411264682123216,0.21973008442781194,0.18829866269999262,-0.13537448303369815
24,688011,2022,1,0,0,0,,not_test_year,2023-04-21,2023-04-21,-0.09809252320628337,-0.04886504001678549,0.07545413934361012,-0.04558742934551174
25,601956,2023,0,0,0,0,0.010949322485847098,middle_60_risk,2024-04-04,2024-04-08,0.001660977853254142,0.02298339557666107,0.05764273599138359,0.04592975683263567
26,000069,2023,1,0,0,0,0.9790811000606289,top_20_risk,2024-03-30,2024-04-01,-0.03133717539771852,-0.020545217740556287,-0.04573081626882869,-0.0444789498643372
27,002199,2022,1,0,0,0,,not_test_year,2023-04-22,2023-04-24,-0.057525185102201726,0.0006496109904371439,0.11216747019223783,-0.02158709727773711
28,603665,2022,0,1,1,1,,not_test_year,2023-04-28,2023-04-28,-0.041122553500570924,-0.055935492892753125,-0.004490546616926716,-0.026115272733503336
