variable,count,mean,std,min,25%,median,75%,max
lag_size,10455.0,3.55165408546252,1.4064239396904163,0.9861519904409537,2.551786178627545,3.3621099929541085,4.335066037228557,7.94419148068913
lag_profitability,10394.0,6.399783538579951,16.96768421216371,-102.6847,2.9,7.715,13.5,53.66180000000026
lag_leverage,10455.0,44.539250483022485,20.3478421464829,6.702000000000001,28.994999999999997,43.28,58.89,94.57639999999991
lag_revenue_growth,10454.0,11.151187028888462,28.98175044133252,-67.20689999999999,-3.765,8.495000000000001,22.43,167.3905999999995
lag_profit_growth,10454.0,-34.03864622154202,331.0519709320688,-2680.4067,-30.36,8.43,45.845,843.6755000000045
lag_eps,10452.0,0.4607570166475316,0.7852391145168939,-2.0433999999999997,0.09045,0.32,0.72,4.752399999999998
lag_cashflow_ps,10452.0,0.6820511576731726,1.0774809126287679,-2.1388000000000003,0.11,0.44,0.98,6.883800000000028
lag_liquidity,10269.0,2.1647653325542895,1.802121000271091,0.32,1.13,1.61,2.5,11.829999999999991
first_doy,10455.0,104.84991869918699,15.143229077009707,58.0,90.0,111.0,118.0,121.0
actual_doy,10455.0,106.52367288378767,14.977528895505218,58.0,92.0,112.0,118.0,175.0
delay_days,10455.0,1.6569909134385468,8.441697189435484,-35.11,0.0,0.0,0.0,60.0
revision_count,10455.0,0.2300334768053563,0.4578847616732377,0.0,0.0,0.0,0.0,2.0
forecast_available,10455.0,0.5176470588235295,0.49971238309314575,0.0,0.0,1.0,1.0,1.0
forecast_bad,10455.0,0.2729794356767097,0.4455116694929092,0.0,0.0,0.0,1.0,1.0
forecast_yoy_min,10455.0,-73.9018669249163,432.5210580684383,-4095.6268,1.7125,5.4,9.9375,608.0199999999968
days_forecast_to_report,10455.0,525.3951506456241,457.71790889946027,8.0,86.0,167.0,999.0,999.0
